run_id,gate_node_id,attempt,verdict,founder_authored,head_sha,recorded_at
c79a7386-bd54-4464-a031-3cb77583fc43,founder_gate,1,rework,0,bf598a3f45993dc048217c5459fa6067896d17a9,2026-09-08T17:22:33.927Z
c79a7386-bd54-4464-a031-3cb77583fc43,founder_gate,2,rework,0,d68f0cdb429332df6b10b93ca4640a582b1d1cdd,2026-09-08T21:09:48.190Z
1a6c34d0-bc99-4ec5-86bd-af1eb8b45d10,founder_gate,1,approved,1,c16bb62a57cced30373c192f7fbdfa477b648445,2026-09-09T02:32:53.666Z
c79a7386-bd54-4464-a031-3cb77583fc43,founder_gate,3,approved,1,ec9d75e72093ec427d0b8dcfbe22309acc25c436,2026-09-09T04:22:41.823Z
70ccd0dd-494d-4e95-bf93-4aa4820e7fc2,founder_gate,1,approved,1,8e9ff50fb764d7bcbd3aa5457a2da17a00967c3f,2026-09-09T04:25:04.906Z
ce54ec2a-6b8b-4c46-bcc6-6e698ba194ab,founder_gate,1,approved,1,2e11fd634bc28d87720194eb045fa0bfa9554fe0,2026-09-09T17:14:32.032Z
e72f53b5-8195-48af-b4bb-a0d5c10b52e2,founder_gate,1,approved,1,11b7dde392952d9b66c12877d73d6a5a1afc91c2,2026-09-09T17:15:44.847Z
8b503475-e5a5-472f-baea-bda9e366b5c2,founder_gate,1,approved,1,d25b6d7d1b2ee9006274273a33a4c51795e7cedb,2026-09-09T17:15:45.436Z
a10f4de0-9b6d-4799-ba92-4ed98cc795ce,founder_gate,1,approved,1,f4d29c773cdddccadf88b77ae3c2847918565a57,2026-09-09T18:31:08.250Z
99288dcf-1e6a-4577-ac8c-c339c041c078,founder_gate,1,approved,1,c42bc41290a31e40a1e45ad9246fe0b8d26de823,2026-09-09T18:59:32.530Z
15b4bd81-005f-4173-a3ea-d5a26906c607,founder_gate,1,rework,0,bdd900a13018486f784c6246dcc8dece67ab8549,2026-09-09T19:13:22.647Z
a0cefa61-e517-4898-9a2c-11d2f09aee9f,founder_gate,1,approved,1,7d547476aeb3f80d6eeb06e969d91eebe1169112,2026-09-09T20:28:52.181Z
05f4aa96-4b2d-43cf-a593-3a1fc3668660,founder_gate,1,rework,0,d9faf274fbdece3b58651d6bfbd6635380a22e34,2026-09-09T23:53:07.121Z
2c97be57-c3e4-4c06-8f2c-09b447b3b747,founder_gate,1,approved,1,29d9abf1245e229663fec5c9e6919911d36cbe16,2026-09-10T00:59:34.372Z
35ab9e12-2ce4-42ca-a15a-966682e289fb,founder_gate,1,approved,1,7497af984a3b82424b949dba457271a41aa0c624,2026-09-10T01:00:46.563Z
d6c4b403-a0c8-4339-8e2e-d36cf48d0cdf,founder_gate,1,approved,1,98e45e000c3cd5b76cd42078d2eeb4b57d362c7d,2026-09-10T01:00:47.306Z
0046d93b-146c-4b78-8b3a-f9ed9eaaa205,founder_gate,1,rework,1,ce09045d550b3c44b6cbdd4dace5a6eacf2267c5,2026-09-10T02:09:21.279Z
da756bf5-7f5e-43d8-a215-a323d172548d,founder_gate,1,approved,1,31ece31e5a0fe894c22f12ab4146e57bf4f32173,2026-09-10T04:15:29.856Z
ffa8c441-b308-4043-bf4a-c27c6e6e5e0d,founder_gate,1,rework,1,8cac2808835a53c0059d2e8e09937d213c4f704b,2026-09-10T04:15:44.435Z
05f4aa96-4b2d-43cf-a593-3a1fc3668660,founder_gate,2,rework,1,98517150c740ed0bbb5c017ebf16f59034d4a19a,2026-09-10T04:41:59.611Z
b6c1c16d-01b5-4313-a590-6954c4ece01f,founder_gate,1,approved,1,9440a091dd9c826a9133496dd907938b39f2aa1b,2026-09-10T08:02:47.988Z
b36fc025-ce12-42d5-a2b6-64e782cd379a,founder_gate,1,approved,1,6d0b16c08e3b519e9f21b71ac6c56a3b914ff510,2026-09-10T08:05:15.123Z
