execution_id,run_id,node_id,attempt,vendor,model,effort,created_at
2faaa88c-1476-4c84-8e93-bc1e5512cae5,e72f53b5-8195-48af-b4bb-a0d5c10b52e2,eng_design,1,codex,gpt-6-astra,xhigh,2026-09-08T19:18:31.072Z
b7fc66a5-1c23-4a9b-aab8-25b95dc36276,1a6c34d0-bc99-4ec5-86bd-af1eb8b45d10,eng_design,1,claude,claude-fable-5-1,high,2026-09-08T19:18:38.694Z
3214350b-7469-47eb-a126-dc38e9b752c7,70ccd0dd-494d-4e95-bf93-4aa4820e7fc2,eng_design,1,claude,claude-fable-5-1,high,2026-09-08T19:19:02.386Z
1492b1f6-6642-4588-9ce5-bedd4fdec106,0046d93b-146c-4b78-8b3a-f9ed9eaaa205,eng_design,1,codex,gpt-6-astra,xhigh,2026-09-08T19:19:19.166Z
f6bb8003-3466-4aa0-b908-0ccbe88cdae1,a8b54a51-cb16-424e-95f8-3e44223acc15,eng_design,1,claude,claude-fable-5-1,high,2026-09-08T19:19:31.365Z
fd0ef836-a1f2-4243-8f9a-3c25823369c5,bd256677-fab4-4d96-9fe6-7ef6c053c46f,implement,1,codex,gpt-5.6-sol,xhigh,2026-09-08T19:19:48.330Z
3e276d6b-ccec-4e94-b56d-e45f4c9f163c,4e86edef-4b6c-4781-b9d6-70aaea3e0e1c,eng_design,1,codex,gpt-6-astra,xhigh,2026-09-08T19:19:58.779Z
231ab6f1-8864-42da-b4e3-5b18aee69115,c79a7386-bd54-4464-a031-3cb77583fc43,implement,2,codex,gpt-5.6-sol,xhigh,2026-09-08T19:27:58.132Z
401ada63-2186-4436-a643-f58f2c6170bb,e72f53b5-8195-48af-b4bb-a0d5c10b52e2,implement,1,codex,gpt-5.6-sol,xhigh,2026-09-08T19:56:26.043Z
9ba2e5e6-58f0-4dc8-9793-2ec1685358f6,c79a7386-bd54-4464-a031-3cb77583fc43,implement,2,codex,gpt-5.6-sol,xhigh,2026-09-08T19:57:36.032Z
a76614e7-fbc9-4a93-8553-e9653be79384,0046d93b-146c-4b78-8b3a-f9ed9eaaa205,implement,1,codex,gpt-5.6-sol,xhigh,2026-09-08T20:04:07.012Z
db6e2cf5-d7df-4b87-9feb-2def287d71e0,4e86edef-4b6c-4781-b9d6-70aaea3e0e1c,implement,1,codex,gpt-5.6-sol,xhigh,2026-09-08T20:05:18.818Z
11901374-e9b0-4583-aee0-3dd93ba5a5c7,a8b54a51-cb16-424e-95f8-3e44223acc15,implement,1,codex,gpt-5.6-sol,xhigh,2026-09-08T20:06:45.639Z
36ba61ae-82c2-4b1f-8b28-b9e043a5eb87,8b503475-e5a5-472f-baea-bda9e366b5c2,implement,1,codex,gpt-5.6-sol,xhigh,2026-09-08T20:16:27.875Z
