run_id,gate_node_id,attempt,state,created_at,updated_at
c79a7386-bd54-4464-a031-3cb77583fc43,founder_gate,1,superseded,2026-09-08T15:03:43.804Z,2026-09-10T17:14:19.533Z
c79a7386-bd54-4464-a031-3cb77583fc43,founder_gate,2,superseded,2026-09-08T21:03:03.550Z,2026-09-10T21:00:19.040Z
a8b54a51-cb16-424e-95f8-3e44223acc15,founder_gate,1,approved,2026-09-09T01:57:26.453Z,2026-09-10T23:33:00.084Z
1a6c34d0-bc99-4ec5-86bd-af1eb8b45d10,founder_gate,1,approved,2026-09-09T02:14:44.453Z,2026-09-09T02:32:53.912Z
bd256677-fab4-4d96-9fe6-7ef6c053c46f,founder_gate,1,awaiting_review,2026-09-09T02:16:58.275Z,2026-09-09T02:16:59.777Z
70ccd0dd-494d-4e95-bf93-4aa4820e7fc2,founder_gate,1,approved,2026-09-09T03:08:16.683Z,2026-09-09T04:25:08.813Z
c79a7386-bd54-4464-a031-3cb77583fc43,founder_gate,3,approved,2026-09-09T03:43:40.566Z,2026-09-09T04:22:43.451Z
e72f53b5-8195-48af-b4bb-a0d5c10b52e2,founder_gate,1,approved,2026-09-09T03:54:07.951Z,2026-09-09T17:15:48.041Z
8b503475-e5a5-472f-baea-bda9e366b5c2,founder_gate,1,approved,2026-09-09T08:51:08.703Z,2026-09-09T17:15:48.046Z
ce54ec2a-6b8b-4c46-bcc6-6e698ba194ab,founder_gate,1,approved,2026-09-09T09:35:54.743Z,2026-09-09T17:14:33.001Z
a10f4de0-9b6d-4799-ba92-4ed98cc795ce,founder_gate,1,approved,2026-09-09T17:48:29.793Z,2026-09-09T18:31:08.497Z
99288dcf-1e6a-4577-ac8c-c339c041c078,founder_gate,1,approved,2026-09-09T18:52:16.816Z,2026-09-09T18:59:33.409Z
15b4bd81-005f-4173-a3ea-d5a26906c607,founder_gate,1,superseded,2026-09-09T19:05:49.975Z,2026-09-11T19:07:11.135Z
a0cefa61-e517-4898-9a2c-11d2f09aee9f,founder_gate,1,approved,2026-09-09T20:09:13.572Z,2026-09-09T20:28:56.320Z
ffa8c441-b308-4043-bf4a-c27c6e6e5e0d,founder_gate,1,superseded,2026-09-09T21:13:36.096Z,2026-09-12T04:09:26.270Z
2c97be57-c3e4-4c06-8f2c-09b447b3b747,founder_gate,1,approved,2026-09-09T22:35:05.519Z,2026-09-10T00:59:38.154Z
35ab9e12-2ce4-42ca-a15a-966682e289fb,founder_gate,1,approved,2026-09-09T22:50:41.813Z,2026-09-10T01:00:48.170Z
d6c4b403-a0c8-4339-8e2e-d36cf48d0cdf,founder_gate,1,approved,2026-09-09T23:28:42.514Z,2026-09-10T01:00:48.174Z
05f4aa96-4b2d-43cf-a593-3a1fc3668660,founder_gate,1,superseded,2026-09-09T23:50:02.037Z,2026-09-11T23:52:52.443Z
0046d93b-146c-4b78-8b3a-f9ed9eaaa205,founder_gate,1,superseded,2026-09-10T01:15:08.921Z,2026-09-12T02:09:03.285Z
