run_id,execution_id,review_type,author_model,reviewer_vendor,reviewer_model,reviewer_effort,at
4c2704d4-c2f8-4336-a640-d9558e419049,c675e1b0-6abf-47cb-9120-6c504a110a93,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-24 23:27:52
17b8e451-b9a3-4e7b-845e-1708a14214df,be23e304-c55e-4e0a-abed-202a9660a87b,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-24 23:29:02
907d80e6-a1d9-4f61-9a84-ef33f0d55112,896c8f8c-035b-4c87-84aa-d978e54d9faa,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-24 23:50:46
535b5752-338e-4372-9e92-a80c720647c7,25d8197c-5ab1-497e-b5d0-09b64389b45a,design,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-24 23:51:51
17b8e451-b9a3-4e7b-845e-1708a14214df,be23e304-c55e-4e0a-abed-202a9660a87b,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-24 23:54:27
22c7f9c7-9db7-43cf-9cfd-365d90564d84,4a6e76d0-023d-48fd-9a73-774c1ae47382,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-24 23:57:10
3a5eaaa7-ce6f-440e-8ce4-981d7abaa31d,675852be-edec-4c65-a4bd-cbb23ba3ce9e,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-24 23:59:08
4c2704d4-c2f8-4336-a640-d9558e419049,c675e1b0-6abf-47cb-9120-6c504a110a93,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 00:01:25
b331bcb1-043a-476c-8e9a-7cd12799767b,66d0759c-5738-458f-ab4e-2a6587ba5e71,design,claude-fable-5-1,codex,gpt-6-astra,xhigh,2026-09-25 00:02:14
17b8e451-b9a3-4e7b-845e-1708a14214df,be23e304-c55e-4e0a-abed-202a9660a87b,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 00:03:50
907d80e6-a1d9-4f61-9a84-ef33f0d55112,896c8f8c-035b-4c87-84aa-d978e54d9faa,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 00:04:11
22c7f9c7-9db7-43cf-9cfd-365d90564d84,4a6e76d0-023d-48fd-9a73-774c1ae47382,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 00:04:50
29bef683-e628-4291-b608-1882a2fec14e,ff4cd646-a214-4c5f-98cb-6020426b5d70,design,claude-fable-5-1,codex,gpt-6-astra,xhigh,2026-09-25 00:05:17
1a7f423f-bedf-4184-9c12-8af305b3441d,345c96d6-bf98-4584-bdd0-4173caf5e50f,code,claude-opus-5-5,codex,gpt-5.6-sol,xhigh,2026-09-25 00:10:45
b331bcb1-043a-476c-8e9a-7cd12799767b,66d0759c-5738-458f-ab4e-2a6587ba5e71,design,claude-fable-5-1,codex,gpt-6-astra,xhigh,2026-09-25 00:14:02
3a5eaaa7-ce6f-440e-8ce4-981d7abaa31d,675852be-edec-4c65-a4bd-cbb23ba3ce9e,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 00:17:02
29bef683-e628-4291-b608-1882a2fec14e,ff4cd646-a214-4c5f-98cb-6020426b5d70,design,claude-fable-5-1,codex,gpt-6-astra,xhigh,2026-09-25 00:19:34
535b5752-338e-4372-9e92-a80c720647c7,25d8197c-5ab1-497e-b5d0-09b64389b45a,code,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 00:19:36
b331bcb1-043a-476c-8e9a-7cd12799767b,66d0759c-5738-458f-ab4e-2a6587ba5e71,design,claude-fable-5-1,codex,gpt-6-astra,xhigh,2026-09-25 00:23:43
b331bcb1-043a-476c-8e9a-7cd12799767b,66d0759c-5738-458f-ab4e-2a6587ba5e71,design,claude-fable-5-1,codex,gpt-6-astra,xhigh,2026-09-25 00:29:01
3a5eaaa7-ce6f-440e-8ce4-981d7abaa31d,41ec9e44-a13b-4e9a-84ef-a4b4efbfbc4e,code,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 00:57:18
29bef683-e628-4291-b608-1882a2fec14e,6e8742ea-95b3-45dc-822e-6c1458327478,code,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 01:13:37
22c7f9c7-9db7-43cf-9cfd-365d90564d84,4a6e76d0-023d-48fd-9a73-774c1ae47382,code,claude-opus-5-5,codex,gpt-5.6-sol,xhigh,2026-09-25 03:40:02
b331bcb1-043a-476c-8e9a-7cd12799767b,ad657cf3-e105-4196-83df-958dbcecf513,code,claude-opus-5-5,codex,gpt-5.6-sol,xhigh,2026-09-25 03:41:07
3a5eaaa7-ce6f-440e-8ce4-981d7abaa31d,41ec9e44-a13b-4e9a-84ef-a4b4efbfbc4e,code,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 03:41:10
22c7f9c7-9db7-43cf-9cfd-365d90564d84,4a6e76d0-023d-48fd-9a73-774c1ae47382,code,claude-opus-5-5,codex,gpt-5.6-sol,xhigh,2026-09-25 04:31:34
29bef683-e628-4291-b608-1882a2fec14e,2fa01a56-3f35-4615-b022-0ab0294f6e45,code,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 04:38:59
3374885d-b4e3-42d8-a727-003890cad5fa,37624e3d-2f56-4ee3-afdc-944f2666c229,design,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 06:43:12
2e59dced-34cf-4372-ac94-ae0daaebb87e,b6c738ca-d135-4cb7-9116-17267466406b,design,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 06:51:22
3374885d-b4e3-42d8-a727-003890cad5fa,37624e3d-2f56-4ee3-afdc-944f2666c229,design,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 06:56:54
2e59dced-34cf-4372-ac94-ae0daaebb87e,b6c738ca-d135-4cb7-9116-17267466406b,design,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 07:18:37
3374885d-b4e3-42d8-a727-003890cad5fa,37624e3d-2f56-4ee3-afdc-944f2666c229,code,gpt-5.6-sol,claude,claude-opus-5-5,xhigh,2026-09-25 07:29:31
5cce900c-3190-4ebd-948c-94d01a57442f,d3e3e04f-8f2e-4ffd-b9fa-88cd8b89e0f9,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 07:37:27
5cce900c-3190-4ebd-948c-94d01a57442f,d3e3e04f-8f2e-4ffd-b9fa-88cd8b89e0f9,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 07:48:42
5cce900c-3190-4ebd-948c-94d01a57442f,d3e3e04f-8f2e-4ffd-b9fa-88cd8b89e0f9,code,claude-opus-5-5,codex,gpt-5.6-sol,xhigh,2026-09-25 08:04:07
206b034f-6453-4c27-a136-9f8779c1a8ed,75e04312-3b3c-4786-b5ff-c5dab756a56c,design,claude-fable-5-1,codex,gpt-6-astra,xhigh,2026-09-25 08:59:47
206b034f-6453-4c27-a136-9f8779c1a8ed,cde40019-9660-4888-83ce-837783e4e8fa,code,claude-opus-5-5,codex,gpt-5.6-sol,xhigh,2026-09-25 10:10:21
5cce900c-3190-4ebd-948c-94d01a57442f,b0907ee9-3f48-4ced-b9c8-18920c080dbe,code,claude-opus-5-5,codex,gpt-5.6-sol,xhigh,2026-09-25 18:18:27
49a3da37-9e6d-45c3-a27a-3309d740eed3,244670e3-55b1-4b3a-9289-099ee9c4088f,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:10:30
b509d87b-0037-4eb9-9af0-8f6b68c4f4a2,8b357d57-f19c-419d-90a8-85d6a3f72c54,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:36:45
917bc43e-d706-40b1-b546-db5006203e8e,19f46728-230f-432d-bddc-f5a6fe3c1f9e,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:42:52
9084969b-da62-4edc-9a61-ab37984639cc,7e55ecb2-7adb-4a28-8d27-1dbb28f0d92e,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:44:37
b509d87b-0037-4eb9-9af0-8f6b68c4f4a2,8b357d57-f19c-419d-90a8-85d6a3f72c54,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:45:30
35a1d137-8635-48b5-81e3-bcfe25f114d1,1c909675-224d-44de-84c3-c88a38ff6f16,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:45:54
e4dd89d7-821f-4700-86f5-7583b9d739e5,cd2dfd5e-d769-4759-87bf-1046b98815b9,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:46:29
917bc43e-d706-40b1-b546-db5006203e8e,19f46728-230f-432d-bddc-f5a6fe3c1f9e,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:48:51
e4dd89d7-821f-4700-86f5-7583b9d739e5,cd2dfd5e-d769-4759-87bf-1046b98815b9,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:50:15
917bc43e-d706-40b1-b546-db5006203e8e,19f46728-230f-432d-bddc-f5a6fe3c1f9e,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:53:27
917bc43e-d706-40b1-b546-db5006203e8e,19f46728-230f-432d-bddc-f5a6fe3c1f9e,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 20:56:33
35a1d137-8635-48b5-81e3-bcfe25f114d1,1c909675-224d-44de-84c3-c88a38ff6f16,design,claude-opus-5-5,codex,gpt-6-astra,xhigh,2026-09-25 21:02:00
